,time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag,obs_no,color,Anomaly,Anomaly_Score
1051,2022-11-06 07:38:32,86919.625,g,0.6593768,12.652205,294.82135,0.003700369,0.8611134,20221106,tab:red,1,0.0004728955809827351
1061,2022-11-06 07:40:02,86956.78,g,0.6596587,12.651741,294.88434,0.0036995783,0.87044793,20221106,tab:red,1,0.00010835824462851473
1200,2022-11-06 08:05:32,60181.555,g,0.45654044,13.051341,245.31929,0.0044470523,0.7736265,20221106,tab:red,1,0.029858496360317344
1280,2022-11-06 08:50:52,73857.7,g,0.56028837,12.829011,271.76773,0.0040142653,0.5195031,20221106,tab:red,1,0.016984231807000816
1448,2022-11-06 09:27:54,43250.71,g,0.32810214,13.410017,207.96805,0.005245747,0.51380926,20221106,tab:red,1,0.04819853109250394
2299,2022-11-20 08:47:19,67623.734,g,0.59297734,12.924752,260.04565,0.0041952166,0.5306841,20221120,tab:green,1,0.009221988285359584
2313,2022-11-20 08:49:19,65586.35,g,0.575112,12.957966,256.09833,0.0042598783,0.5106316,20221120,tab:green,1,0.014440424981355338
2314,2022-11-20 08:49:29,49279.02,g,0.4321167,13.268345,221.98878,0.004914427,0.51450557,20221120,tab:green,1,0.03755981748330772
2315,2022-11-20 08:49:39,62626.105,g,0.5491543,13.008112,250.25208,0.0043593952,0.52007663,20221120,tab:green,1,0.0225387531444885
2318,2022-11-20 08:50:09,66282.19,g,0.5812136,12.946508,257.45328,0.004237459,0.526229,20221120,tab:green,1,0.009692254520104027
2325,2022-11-20 08:51:09,59049.42,g,0.51779115,13.07196,243.00087,0.004489481,0.5421804,20221120,tab:green,1,0.02822282229789963
2326,2022-11-20 08:51:19,56246.074,g,0.4932092,13.124769,237.16255,0.0046,0.5261987,20221120,tab:green,1,0.03209700065640686
2327,2022-11-20 08:51:29,68233.336,g,0.5983228,12.915009,261.21512,0.004176434,0.5488202,20221120,tab:green,1,0.010394128874277042
2332,2022-11-20 08:52:19,65499.71,g,0.57435226,12.959401,255.92911,0.004262695,0.5474997,20221120,tab:green,1,0.01814104615740253
2334,2022-11-20 08:52:29,65664.54,g,0.57579756,12.956673,256.25092,0.004257342,0.53796136,20221120,tab:green,1,0.014815934668691355
2335,2022-11-20 08:52:39,67320.41,g,0.59031755,12.929633,259.46176,0.004204657,0.53207403,20221120,tab:green,1,0.009221988285359584
2336,2022-11-20 08:52:49,68116.54,g,0.5972986,12.916868,260.99146,0.004180013,0.55201155,20221120,tab:green,1,0.010394128874277042
2341,2022-11-20 08:53:39,60626.4,g,0.5316193,13.043345,246.22429,0.004430707,0.5410527,20221120,tab:green,1,0.024838700350693577
2345,2022-11-20 08:54:09,61200.695,g,0.5366552,13.033109,247.38774,0.0044098697,0.5317298,20221120,tab:green,1,0.021481943071823384
2346,2022-11-20 08:54:19,66006.305,g,0.5787945,12.951036,256.91693,0.0042463057,0.5621767,20221120,tab:green,1,0.018786864935637526
2351,2022-11-20 08:55:09,68675.2,g,0.60219747,12.908,262.05954,0.0041629765,0.5441302,20221120,tab:green,1,0.005233454314622299
2352,2022-11-20 08:55:19,68361.74,g,0.59944874,12.912968,261.4608,0.00417251,0.5378246,20221120,tab:green,1,0.004299269359260394
