,time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag,obs_no,color,Anomaly,Anomaly_Score
1,2022-11-06T04:11:30.000,128977.51,g,0.9784301,12.223715,359.13437,0.0030377146,0.64535606,20221106,tab:red,1,0.0003398478203550659
6,2022-11-06T04:12:20.000,126416.74,g,0.95900404,12.245488,355.55133,0.003068327,0.66066825,20221106,tab:red,1,0.0008024100607176843
14,2022-11-06T04:13:30.000,125679.07,g,0.953408,12.2518425,354.51242,0.0030773187,0.63310957,20221106,tab:red,1,0.00039638282659920643
21,2022-11-06T03:56:30.000,98946.63,g,0.75061435,12.5114975,314.55783,0.0034681945,0.74920875,20221106,tab:red,1,0.0018990836781447862
27,2022-11-06T04:15:30.000,120940.55,g,0.91746134,12.2935705,347.76508,0.003137025,0.62079376,20221106,tab:red,1,0.0019796539255194645
29,2022-11-06T04:15:50.000,131446.75,g,0.9971619,12.203125,362.55585,0.0030090474,0.6033759,20221106,tab:red,1,0.0014814954600728125
34,2022-11-06T04:16:30.000,128636.14,g,0.9758405,12.226592,358.6588,0.0030417424,0.61430806,20221106,tab:red,1,0.0010729067907858103
38,2022-11-06T04:17:10.000,126854.86,g,0.9623276,12.241733,356.1669,0.003063024,0.6088587,20221106,tab:red,1,0.001412482013581795
45,2022-11-06T04:18:10.000,136261.61,g,1.0336877,12.164066,369.13632,0.0029554062,0.5906675,20221106,tab:red,1,0.0001807086096548005
48,2022-11-06T04:18:40.000,133773.73,g,1.0148145,12.1840725,365.75092,0.0029827615,0.59092104,20221106,tab:red,1,0.0001807086096548005
54,2022-11-06T03:57:00.000,113001.52,g,0.8572355,12.36729,336.15698,0.0032453518,0.7581493,20221106,tab:red,1,0.001131222202019333
55,2022-11-06T04:19:40.000,134942.95,g,1.0236844,12.174624,367.34583,0.0029698112,0.5876653,20221106,tab:red,1,0.00038350757699984195
64,2022-11-06T04:21:10.000,129713.5,g,0.9840134,12.217537,360.1576,0.0030290843,0.59295666,20221106,tab:red,1,0.00046516319978073817
68,2022-11-06T04:21:40.000,139056.56,g,1.0548904,12.142021,372.9029,0.0029255545,0.5776072,20221106,tab:red,1,0.0030513511457766485
76,2022-11-06T03:57:20.000,102054.08,g,0.77418756,12.477924,319.45905,0.0034149848,0.75408924,20221106,tab:red,1,0.002087764151121385
90,2022-11-06T04:25:00.000,135809.22,g,1.0302559,12.167677,368.52304,0.0029603245,0.5665632,20221106,tab:red,1,0.0001807086096548005
98,2022-11-06T03:57:40.000,97788.77,g,0.74183077,12.524278,312.71198,0.0034886664,0.7452542,20221106,tab:red,1,0.0018990836781447862
102,2022-11-06T04:26:50.000,142000.39,g,1.0772225,12.119276,376.8294,0.0028950707,0.5623406,20221106,tab:red,1,0.0013307880705474284
119,2022-11-06T03:59:10.000,112293.1,g,0.85186136,12.374117,335.10162,0.0032555726,0.742193,20221106,tab:red,1,0.0010644350397019386
120,2022-11-06T03:59:20.000,110977.78,g,0.84188324,12.3869095,333.13327,0.0032748086,0.73743796,20221106,tab:red,1,0.004123216436357824
121,2022-11-06T03:59:30.000,118710.31,g,0.9005426,12.313779,344.54364,0.003166356,0.7336566,20221106,tab:red,1,0.0019823546946390325
134,2022-11-06T04:01:20.000,111618.35,g,0.8467427,12.380661,334.09332,0.003265398,0.72281176,20221106,tab:red,1,0.001069384390560646
137,2022-11-06T04:01:50.000,111863.41,g,0.8486017,12.37828,334.45987,0.0032618195,0.72707933,20221106,tab:red,1,0.0008661215253009114
139,2022-11-06T04:02:10.000,96994.91,g,0.7358085,12.533128,311.44006,0.003502914,0.7272441,20221106,tab:red,1,0.0018990836781447862
140,2022-11-06T04:02:20.000,86676.164,g,0.65752995,12.655251,294.40817,0.003705562,0.73199105,20221106,tab:red,1,0.006443659735420104
141,2022-11-06T04:02:30.000,107694.85,g,0.8169788,12.419513,328.16895,0.003324348,0.7286423,20221106,tab:red,1,0.0056135519200275485
147,2022-11-06T04:03:20.000,123192.77,g,0.9345468,12.273537,350.98828,0.003108217,0.71338236,20221106,tab:red,1,0.0013717088721103554
150,2022-11-06T04:03:50.000,123523.484,g,0.93705565,12.270626,351.45908,0.0031040534,0.7191073,20221106,tab:red,1,0.0014151777010253386
156,2022-11-06T04:04:40.000,115227.9,g,0.8741249,12.346106,339.45233,0.0032138466,0.70477057,20221106,tab:red,1,0.0017267770376934166
160,2022-11-06T04:05:20.000,125168.984,g,0.94953847,12.256258,353.7923,0.0030835825,0.7009072,20221106,tab:red,1,0.0011897749438324334
167,2022-11-06T04:06:20.000,124315.12,g,0.943061,12.26369,352.5835,0.0030941544,0.68498725,20221106,tab:red,1,0.0014526816888524863
181,2022-11-06T04:08:30.000,125223.36,g,0.949951,12.255787,353.86914,0.0030829129,0.6800582,20221106,tab:red,1,0.0008024100607176843
191,2022-11-06T04:10:00.000,123949.63,g,0.94028836,12.266887,352.06482,0.0030987128,0.6657639,20221106,tab:red,1,0.0018165840385854781
201,2022-11-06T04:44:50.000,152515.61,g,1.1569914,12.041715,390.53247,0.0027934879,0.48495522,20221106,tab:red,1,0.001021733613217335
202,2022-11-06T04:45:00.000,151616.06,g,1.1501675,12.048137,389.3791,0.0028017627,0.47128874,20221106,tab:red,1,0.0022774019689451586
206,2022-11-06T04:45:40.000,155490.12,g,1.1795563,12.020743,394.32236,0.0027666392,0.47820875,20221106,tab:red,1,0.002204060126793028
214,2022-11-06T04:46:50.000,157979.7,g,1.1984423,12.003497,397.4666,0.0027447531,0.46826768,20221106,tab:red,1,0.003226284917800193
218,2022-11-06T04:47:30.000,157840.47,g,1.197386,12.004454,397.2914,0.0027459636,0.45704007,20221106,tab:red,1,0.0012149355849197518
224,2022-11-06T04:48:20.000,154497.23,g,1.172024,12.0276985,393.06134,0.0027755152,0.463779,20221106,tab:red,1,0.0012583817605289482
